pkid,item_code,item_name,drawing_no,quantity,pn,pn_code,order_no,part_no,mm,customer_pn,code,remarks,lastupdate,username,logdel
,101801201,PJS008-2000-1(01),A105114001 B,800,,,,,,,MAY-XA0012-T001,,2017-12-14 11:04:00,marlope,0
,101801401,PJS008-2001-1(01),A105115001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101801601,PJS008-2002-0(01),A105124001 C,1000,,,,,,,108205,,2017-12-14 11:04:00,marlope,0
,101801801,PJS008-2000-1,A105127001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102016401,FMS006Z-2121-0(01),A105415001 C,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101942701,HF507S-21-01,A105422001 E,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101943201,HF507S-31-01,A105422002 E,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101943401,HF507S-41-01,A105422003 E,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101943601,HF507S-51-01,A105422004 E,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104506001,HF507S-80-01,A105422005 E,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101944201,HF507S-21-02,A105423001 F,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101944501,HF507S-31-02,A105423002 F,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101944901,HF507S-41-02,A105423003 F,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101945001,HF507S-51-02,A105423004 F,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104505501,HF507S-80-02,A105423005 G,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102025101,HF507S-21-03,A105424001 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102025201,HF507S-31-03,A105424002 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101945101,HF507S-41-03,A105424003 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,101945401,HF507S-51-03,A105424004 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102003401,HF507S-41-04,A105558003 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102003501,HF507S-51-04,A105558004 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102066401,PJS008-2100-0,A105576001 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102127001,FPS009-2406-0(02),A105591001 D,600,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102134501,FMS006-2603-0(01),A105711001 A,800,,,MSL=1,,,,,,2017-12-14 11:04:00,marlope,0
,102183101,FMS006Z-2041-1,A105762001 A,750,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102205601,HF507S-21-01(01),A105789001 C,1500,,,,,,,QCNCWA657WJQZY,,2017-12-14 11:04:00,marlope,0
,102449401,HF507S-41-01(01),A105789003 C,1500,,,,,,,QCNCWA657WJQZY,,2017-12-14 11:04:00,marlope,0
,102855301,HF507S-51-01(01),A105789004 C,1500,,,,,,,QCNCWA657WJQZY,,2017-12-14 11:04:00,marlope,0
,102094401,HF503-38-01(02),A105808001 C,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102598101,FPS009-2900-0,A105858001 E,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102205401,HF507S-21-02(01),A105910001 C,1500,,,,,,,QCNCWA661WJQZY,,2017-12-14 11:04:00,marlope,0
,102205501,HF507S-41-02(01),A105910001 C,1500,,,,,,,QCNCWA661WJQZY,,2017-12-14 11:04:00,marlope,0
,103070001,HF507S-51-02(01),A105910004 C,1500,,,,,,,QCNCWA661WJQZY,,2017-12-14 11:04:00,marlope,0
,103766801,HF507S-41-03(01),A105911001 C,1500,,,,,,,QCNCWA960WJQZY,,2017-12-14 11:04:00,marlope,0
,102151701,FMS006-2620-0(01),A106010001 C,800,,,MSL=1,,,,,,2017-12-14 11:04:00,marlope,0
,102220401,FMS006-2610-0(01),A106073001 B,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102304201,FPS009-2405-0(01),A106347001 B,600,,,MSL=1,,,,,,2017-12-14 11:04:00,marlope,0
,102322101,HF602-092-01,A106424001 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102421301,HF602-092-01(01),A106425001 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102336101,PJS008-2003-0,A106545001 A,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102363401,FPS009-2405-0(02),A106598001 B,600,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102363001,PJS008-2110-0,A106605001 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102471301,FPS009-2306-0(01),A106607001 B,500,,,,,,,QS0CZA143WJQZY,,2017-12-14 11:04:00,marlope,0
,102377501,FMS006Z-2101-0(04),A106608001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102436901,HF503-32-01(02),A106774001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102411201,FMS006-2620-0,A106824001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102436201,HF503-32-02(02),A106826001 B,300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102602001,FPS009-2409-0,A106827001 B,600,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102554901,IC160Z-0324-2401(02),A106862001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102601901,IC306-070-1500,A106885001 A,220,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102593501,PJS008-2003-1,A106900001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102667601,PJS008-2004-1,A107147001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102532101,PJS008-2110-0(02),A107204001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102639301,HF509S-10-03,A107259001 B,3000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102565101,HF507S-51-04(04),A107295004 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102639101,HF507S-51-14(04),A107410004 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102694801,FPS009-2901-0,A107415001 F,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102775001,IC179-44600-5001(03),A107699001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103483201,HF509S-10-03(01),A107702001 A,3000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103466801,HF509S-10-03(02),A107767001 C,3000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103025801,PJS008-2120-0,A107792001 B,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103339501,FPS009-2405-0(05),A107804001 B,600,,,,SG011000000,,,,,2017-12-14 11:04:00,marlope,0
,102825301,PJS008-2120-0(01),A107865001 D,1300,,,,,,,MAT-JJ0078-T001,,2017-12-14 11:04:00,marlope,0
,103233601,FPS009-2900-0(01),A108029001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102904901,PJS008-2300-0,A108038001 B,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103039501,IC179-44600-5001(04),A108077001 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103097501,FPS009-2405-0(04),A108144001 B,600,,,,DG011000000,,,,,2017-12-14 11:04:00,marlope,0
,102925501,PJS008-2300-0(01),A108158001 C,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,102995701,PJS008-2100-0(01),A108262001 B,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103240001,FMS006-2630-0(01),A108799001 A,800,,,,,,,1-822-003-11,,2017-12-14 11:04:00,marlope,0
,103302801,PJS008-2100-0(02),A108945001 B,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104342901,HF507S-21-02-2001,A109005003 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103320801,HF507S-41-02-4001,A109005001 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103586401,HF507S-51-02-5001,A109005002 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,106359501,HF507S-31-02-3001,A109005004 D,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103381101,HF601-30-02,A109202001 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103381401,HF601-50-02,A109202004 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103390901,HF601-40-02,A109202002 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103391601,HF601-45-02,A109202003 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103392201,HF601-60-02,A109202005 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103430401,HF601-26-02,A109202007 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103423201,HF601-10-02,A109202006 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103753901,HF601-20-02,A109202008 D,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103466001,FPS009-2901-0(01),A109208001 C,500,,,,,,,,1AV4J11B9351G,2017-12-14 11:04:00,marlope,0
,103541301,HF507S-21-23,A109294001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103541401,HF507S-31-23,A109294002 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103541501,HF507S-41-23,A109294003 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103541601,HF507S-51-23,A109294004 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103466901,HF507S-21-23(02),A109295001 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103467101,HF507S-31-23(02),A109295002 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103467501,HF507S-41-23(02),A109295003 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103467801,HF507S-51-23(02),A109295004 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103484701,PJS008-2111-0,A109429001 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104247601,FRS018-2001-0(01),A109438002 J,400,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104477101,FRS018-2002-0(01),A109438001 J,400,,,,,,,1-822-837-21,,2017-12-14 11:04:00,marlope,0
,104722501,FRS018-2003-0(01),A109438001 J,400,,,,,,,1-822-837-41,,2017-12-14 11:04:00,marlope,0
,105136801,FRS018-2020-0(01),A109438005 J,400,,,,,,,1-822-837-51,,2017-12-14 11:04:00,marlope,0
,103527501,FPS009-2960-0,A109464001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104710401,HF507S-21-01-2001,A109552003 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104263901,HF507S-31-01-3001,A109552002 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103561801,HF507S-41-01-4001,A109552001 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103587001,HF601-22-03,A109643001 B,2000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103596501,HF601-22-03(01),A109644001 A,2000,,,K1MY22BA0357,,,,,FTPb,2017-12-14 11:04:00,marlope,0
,103629201,FPS009-2900-0(02),A109858001 B,500,,,,,,,,1AV4J11B9350G,2017-12-14 11:04:00,marlope,0
,103676801,FPS009-2900-0(03),A109928001 A,500,,,,,,,1-822-411-21,,2017-12-14 11:04:00,marlope,0
,103803801,FPS009-2900-0(04),A109986001 B,500,,,,,,,,FGY114-0161,2017-12-14 11:04:00,marlope,0
,103754901,FPS009-2902-0,A110175001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103828501,HF601-30-12,A110277001 F,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104466501,HF601-20-12,A110277005 F,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103829601,HF601-40-12,A110277002 F,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103829901,HF601-45-12,A110277003 F,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103830201,HF601-50-12,A110277004 F,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103801201,FPS009-2961-0,A110293001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103801202,FPS009-2961-0,A110293001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103801401,FPS009-2961-0(01),A110294001 B,500,,,,,,,,K1NA09E00148 1AV4J11B9690G,2017-12-14 11:04:00,marlope,0
,103814101,FPS009-3202-BL(03),A110334001 A,500,,,,,,,,EY03001R,2017-12-14 11:04:00,marlope,0
,104213301,IC306-070-1400-1,A110422001 A,220,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104213401,IC306-070-1401-1,A110422002 A,220,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103845801,FMS006-2630-0(02),A110443001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104608201,FMS006-2630-0,A110528001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103940201,FPS009-2960-0(01),A110562001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103907601,FPS009-2962-0,A110596001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103908401,FPS009-2962-0(01),A110597001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104032801,FPS009-2903-0,A110615001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,103974401,IC315-054-1000,A110627001 C,280,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104000701,IC316-140-1000,A110815001 B,180,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104031701,HF601-10-02(01),A110823001 C,2000,,,K1MY10BA0387,,,,,R-Pb,2017-12-14 11:04:00,marlope,0
,104838301,HF601-40-02(01),A110823002 C,2000,,,K1MY40BA0387,,,,,R-Pb,2017-12-14 11:04:00,marlope,0
,104043201,FPS009-2920-0,A110915001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104060801,PJS008-2010-0,A110997001 A,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104084001,FPS009-2960-1,A111020001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104137601,HF507S-51-03(07),A111031001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104112801,FPS009-2920-0(01),A111119001 C,500,,,K1NA09E00125,,,,,,2017-12-14 11:04:00,marlope,0
,104373101,FPS009-2903-0(01),A111195001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104369101,FPS009-2903-0(02),A111196001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104373201,FPS009-2903-0(03),A111197001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104217601,FPS009-2970-0,A111341001 A,400,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104345201,FPS009-2961-0(02),A111371001 A,500,,,,,,,,K1NA09E00133,2017-12-14 11:04:00,marlope,0
,104249301,FMS006Z-2000-0(03),A111395001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104296401,IC316-140-1000-1,A111406001 B,180,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104295401,IC179-44600-5001-1,A111521003 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104336901,HF507S-21-02(09),A111547001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104612701,FRS018-2010-0(01),A111577001 D,400,,,,,,,1-822-837-31,,2017-12-14 11:04:00,marlope,0
,104493101,FPS009-2930-1,A111629001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104492501,FPS009-2930-1(01),A111630001 B,500,,,,,,,,K1NA09E00154,2017-12-14 11:04:00,marlope,0
,104294801,HF507A-51-04(11),A111661001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104337001,HF507S-21-01(09),A111720001 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104356401,HF201P-1101-1,A111800001 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104356801,HF201P-1101-1(01),A111801001 B,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104356901,HF201P-1201-1,A111878001 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104414901,FPS009-2920-0(04),A111985001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104414701,FPS009-2961-0(03),A111986001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104414801,FPS009-2970-0(01),A111987001 A,400,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104456401,FPS009-2963-0,A112014001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104481001,HF601-45-12(01),A112022003 A,1000,,,K1MY45AA0221,,,,,,2017-12-14 11:04:00,marlope,0
,104428601,FPS009-2900-0(05),A112051001 A,500,,,,,,,QSOCZA272WJZZY,,2017-12-14 11:04:00,marlope,0
,104525501,HF601-30-02(03),A112166001 C,2000,,,,,,,N452P46830,,2017-12-14 11:04:00,marlope,0
,104525601,HF601-50-02(03),A112166004 C,2000,,,,,,,N452P46850,,2017-12-14 11:04:00,marlope,0
,104525401,HF601-20-02(03),A112166008 C,2000,,,,,,,N452P46820,,2017-12-14 11:04:00,marlope,0
,104538501,PJS008-2130-0(02),A112195001 A,1500,,,,,,,,K1NA08E00025,2017-12-14 11:04:00,marlope,0
,104570901,HF507S-31-01(12),A112257002 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104571001,HF507S-51-01(12),A112257004 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104524401,HF507S-80-01(12),A112257005 A,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104524501,HF507S-80-02(12),A112258005 C,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104524301,FPS009-2961-1(01),A112281001 B,500,,,,,,,,K1NA09E00139,2017-12-14 11:04:00,marlope,0
,104560601,FPS009-2900-0(06),A112297001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104928201,CN113-230-0001,A112313001 H,400,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104653801,FPS009-2970-0(02),A112376001 A,400,,,,,,,,K1NA09E00140,2017-12-14 11:04:00,marlope,0
,104637301,PJS008-2003-0(01),A112419001 B,1000,,,,,,,,K1NA08E00027,2017-12-14 11:04:00,marlope,0
,104671601,IC307-088-1000-1,A112550001 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104637401,IC307-088-1000-2,A112594001 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104637501,IC307-088-1001-2,A112594002 A,250,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104809801,FPS009-2409-0(02),A112595001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104846001,FMS006-2610-0,A112682001 B,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104759401,FPS009-2931-1(01),A112803001 A,450,,,,,,,,K1NA09E00152,2017-12-14 11:04:00,marlope,0
,104766501,HF601-20-02M(03),A112842001 A,2000,,,,,,,N452P46891,,2017-12-14 11:04:00,marlope,0
,104766701,HF601-30-02M(03),A112842002 A,2000,,,,,,,N452P46892,,2017-12-14 11:04:00,marlope,0
,104766901,HF601-50-02M(03),A112842003 A,2000,,,,,,,N452P46892,,2017-12-14 11:04:00,marlope,0
,104790201,FPS009-4200-0,A112870001 B,270,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104787601,CN125S-0001,A112884001 C,600,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105257201,FPS009-4200-0(01),A112946001 C,270,N452P50710,,,,,,,,2017-12-14 11:04:00,marlope,0
,105257202,FPS009-4200-0(01),A112946001 C,270,N452P50710,,,,,,,,2017-12-14 11:04:00,marlope,0
,104835601,FPS009-2900-0(07),A113095001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104879701,HF512S-50-02,A113141002 C,1200,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104879301,HF512S-40-02,A113141001 C,1200,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104997301,FPS009-4200-0(02),A113181001 C,270,,,,,,,,K1NA09EA0031,2017-12-14 11:04:00,marlope,0
,104970301,FPS009-2960-1(01),A113268001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104919201,FPS009-2904-0,A113342001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104918301,FPS009-2904-0(01),A113343001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104969201,PJS008-2003-0(02),A113422001 A,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105394001,FPS009-2905-0,A113434001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105132001,CN132T-008-0001,A113446001 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105132101,CN132R-008-0001,A113447001 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105012901,FPS009-2964-0,A113454001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105014301,FPS009-2964-0(01),A113455001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,104962801,FMS006-2610-0(02),A113460001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105145501,FPS009-4200-0(03),A113680001 B,270,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105120901,PJS008-2100-0-04,A113827001 B,1500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105120801,PJS008-2003-0-03,A113828001 B,1000,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105121101,PJS008-2120-0-02,A113829001 B,1300,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105116401,FPS009-2960-0-02,A113832001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105117201,FPS009-2901-0-02,A113833001 B,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105121401,FPS009-2409-0-03,A113834001 B,600,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105438801,FPS009-2903-0(05)VE,A113835001 A,500,,,,,,,,,2017-12-14 11:04:00,marlope,0
,105219501,FMS006-2620-0(02)VE,A113836001 A,800,,,,,,,,,2017-12-14 11:04:00,marlope,0
